First_pokemon,Second_pokemon,Winner,Name_First,Type 1_First,Type 2_First,HP_First,Attack_First,Defense_First,Sp. Atk_First,Sp. Def_First,Speed_First,Generation_First,Legendary_First,Name_Second,Type 1_Second,Type 2_Second,HP_Second,Attack_Second,Defense_Second,Sp. Atk_Second,Sp. Def_Second,Speed_Second,Generation_Second,Legendary_Second
129,117,129,Seaking,Water,,80,92,65,65,80,68,1,False,Lickitung,Normal,,90,55,75,60,75,30,1,False
660,211,211,Ferrothorn,Grass,Steel,74,94,131,54,116,20,5,False,Quagsire,Water,Ground,95,85,85,65,65,35,2,False
706,115,706,Thundurus Therian Forme,Electric,Flying,79,105,70,145,80,101,5,True,Hitmonlee,Fighting,,50,120,53,35,110,87,1,False
195,618,618,Flaaffy,Electric,,70,55,55,80,60,45,2,False,Maractus,Grass,,75,86,67,106,67,60,5,False
27,656,27,Spearow,Normal,Flying,40,60,30,31,31,70,1,False,Alomomola,Water,,165,75,80,40,45,65,5,False
126,222,126,Horsea,Water,,30,40,70,70,25,60,1,False,Dunsparce,Normal,,100,70,70,65,65,45,2,False
436,207,436,Chimchar,Fire,,44,58,44,58,44,61,4,False,Sunkern,Grass,,30,30,30,30,30,30,2,False
121,36,36,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False,Nidorina,Poison,,70,62,67,55,55,56,1,False
169,636,169,Meganium,Grass,,80,82,100,83,100,80,2,False,Gothita,Psychic,,45,30,50,55,65,45,5,False
302,688,688,Wingull,Water,Flying,40,30,30,55,30,85,3,False,Bouffalant,Normal,,95,110,95,40,95,55,5,False
39,380,380,Nidorino,Poison,,61,72,57,55,55,65,1,False,Anorith,Rock,Bug,45,95,50,40,50,75,3,False
11,292,11,Wartortle,Water,,59,63,80,65,80,58,1,False,Cascoon,Bug,,50,35,55,25,25,15,3,False
228,747,747,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False,Meowstic Male,Psychic,,74,48,76,83,81,104,6,False
302,763,302,Wingull,Water,Flying,40,30,30,55,30,85,3,False,Clauncher,Water,,50,53,62,58,63,44,6,False
455,436,436,Rampardos,Rock,,97,165,60,65,50,58,4,False,Chimchar,Fire,,44,58,44,58,44,61,4,False
381,14,14,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,Caterpie,Bug,,45,30,35,20,20,45,1,False
205,710,205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False,Landorus Therian Forme,Ground,Flying,89,145,90,105,80,91,5,True
86,639,639,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False,Solosis,Psychic,,45,30,40,105,50,20,5,False
128,681,681,Goldeen,Water,,45,67,60,35,50,63,1,False,Mienfoo,Fighting,,45,85,50,55,50,65,5,False
565,570,570,Watchog,Normal,,60,85,69,60,69,77,5,False,Liepard,Dark,,64,88,50,88,50,106,5,False
496,448,448,Munchlax,Normal,,135,85,40,40,85,5,4,False,Kricketune,Bug,,77,85,51,55,51,65,4,False
